ID,Predict
0,14381.229
1,9967.894
2,6018.588
3,40468.816
4,40088.1
5,43130.69
6,10137.51
7,12804.855
8,11017.849
9,17188.832
10,787.05475
11,7599.0146
12,390.56702
13,2271.6777
14,29861.52
15,18474.46
16,24654.465
17,16894.93
18,2721.7576
19,16551.865
20,33660.13
21,15140.557
22,6953.4663
23,10424.892
24,15787.167
25,29202.322
26,1490.0477
27,4695.4097
28,23012.354
29,18832.193
30,188.76332
31,14956.576
32,12847.046
33,15060.971
34,21784.945
35,17124.525
36,16521.709
37,30734.006
38,12121.306
39,37891.812
40,2552.054
41,8584.499
42,9382.154
43,10022.222
44,19108.916
45,15730.22
46,5575.7896
47,16194.283
48,18681.195
49,8687.897
50,18291.355
51,18078.865
52,14634.489
53,13409.558
54,15722.886
55,15213.525
56,103809.016
57,15680.999
58,10196.039
59,18706.832
60,14596.908
61,5867.1055
62,12913.136
63,2986.988
64,20183.613
65,284.50546
66,13331.896
67,46766.645
68,19250.625
69,21501.562
70,34518.043
71,14643.02
72,14435.096
73,1632.2527
74,11945.472
75,7930.3955
76,8125.897
77,11849.644
78,6538.6553
79,1157.4615
80,21563.785
81,21756.312
82,9122.984
83,18661.607
84,10882.633
85,11904.197
86,18530.47
87,28034.215
88,16065.477
89,543.87177
90,474.67023
91,3450.017
92,8871.1
93,12112.025
94,1513.4669
95,31468.896
96,18834.51
97,12014.862
98,18608.094
99,19045.635
100,39940.113
101,10329.737
102,56164.13
103,12232.25
104,30824.064
105,602.9216
106,45709.203
107,6319.3066
108,5795.831
109,1819.2847
110,6160.069
111,22590.45
112,7647.695
113,24226.357
114,27542.824
115,7560.481
116,16242.063
117,3763.814
118,19412.74
119,11516.31
120,220.95685
121,13390.311
122,11191.423
123,68929.75
124,31767.242
125,684.8008
126,10201.312
127,802.65906
128,3211.082
129,10312.569
130,4924.9414
131,13250.337
132,2037.9847
133,17172.02
134,13903.5625
135,16304.688
136,4626.3306
137,449.83896
138,5982.6836
139,12804.477
140,4851.1255
141,1490.0477
142,30605.365
143,5916.8643
144,6156.5737
145,3817.3105
146,14358.834
147,400.50757
148,36385.535
149,16571.182
150,10647.977
151,3249.4163
152,15766.087
153,57510.195
154,26732.459
155,22345.422
156,17848.76
157,5100.781
158,25934.68
159,12659.43
160,21734.703
161,12902.032
162,20824.004
163,8037.7603
164,9375.839
165,10309.825
166,3285.8435
167,16699.408
168,5397.1367
169,31746.223
170,13919.152
171,63877.145
172,3951.6167
173,15305.81
174,26719.766
175,6662.826
176,35957.402
177,15774.735
178,9959.369
179,467.3028
180,30734.006
181,20235.848
182,32915.04
183,29515.918
184,18756.014
185,9019.173
186,3583.29
187,7685.639
188,38759.24
189,4091.8215
190,4225.4805
191,14081.977
192,14594.208
193,14047.944
194,10500.211
195,18727.021
196,3704.0854
197,3136.025
198,17977.936
199,4878.3037
200,30027.586
201,13335.749
202,15676.02
203,12453.82
204,1097.9983
205,12333.642
206,24686.229
207,18935.822
208,13729.373
209,2182.8533
210,8285.04
211,10504.809
212,30866.809
213,21763.016
214,20656.287
215,11291.348
216,13400.901
217,12967.143
218,16458.941
219,12239.356
220,12309.914
221,13469.814
222,17004.125
223,17897.0
224,6971.4233
225,11380.056
226,6614.9287
227,3281.217
228,31487.6
229,16387.611
230,1345.1382
231,14573.664
232,14966.722
233,15223.424
234,13882.336
235,10360.205
236,141093.27
237,9034.523
238,8914.042
239,35316.965
240,1917.748
241,705.9206
242,2366.656
243,26732.459
244,1875.4554
245,7414.83
246,1572.0215
247,11537.836
248,8569.602
249,24434.451
250,1836.058
251,3523.6243
252,9452.438
253,8154.173
254,12437.724
255,19657.906
256,15417.243
257,19635.309
258,46199.66
259,3480.6646
260,21237.516
261,2348.699
262,862.0633
263,11074.328
264,284.05136
265,8381.674
266,6907.4585
267,45787.21
268,3814.7878
269,4965.309
270,2382.525
271,2664.9536
272,941.461
273,5296.692
274,7087.5474
275,7221.3
276,8060.485
277,580.035
278,47628.33
279,19839.549
280,8887.25
281,4692.2217
282,33162.7
283,4815.1016
284,13752.714
285,18070.469
286,41978.254
287,10664.584
288,1031.4379
289,8534.95
290,8488.149
291,6403.268
292,17487.479
293,4864.341
294,8099.372
295,11618.747
296,7555.824
297,37961.332
298,3772.2285
299,9306.906
300,15680.999
301,11377.028
302,580.9561
303,18664.97
304,25664.54
305,16779.055
306,762.7451
307,6876.5815
308,22742.549
309,7441.1714
